timestamp,source_ip,destination_ip,protocol,packet_size,src_port,dst_port,tcp_flags,ttl,http_host,http_uri,tls_sni,full_url
1748590513.310991000,192.168.209.48,192.168.209.199,6,58,8000,2590,0x0012,128,,,,
1748590513.316136000,192.168.209.199,192.168.209.48,6,60,2590,8000,0x0004,64,,,,
1748590514.316897000,192.168.209.199,192.168.209.48,6,60,2591,8000,0x0002,64,,,,
1748590514.316983000,192.168.209.48,192.168.209.199,6,58,8000,2591,0x0012,128,,,,
1748590514.328113000,192.168.209.199,192.168.209.48,6,60,2591,8000,0x0004,64,,,,
1748590515.331320000,192.168.209.199,192.168.209.48,6,60,2592,8000,0x0002,64,,,,
1748590515.331391000,192.168.209.48,192.168.209.199,6,58,8000,2592,0x0012,128,,,,
1748590515.341208000,192.168.209.199,192.168.209.48,6,60,2592,8000,0x0004,64,,,,
1748590522.397265000,192.168.209.199,192.168.209.48,6,60,2599,8000,0x0002,64,,,,
1748590522.397358000,192.168.209.48,192.168.209.199,6,58,8000,2599,0x0012,128,,,,
1748590522.403730000,192.168.209.199,192.168.209.48,6,60,2599,8000,0x0004,64,,,,
1748590522.653222000,192.168.209.48,192.168.209.248,6,55,51913,53,0x0010,128,,,,
1748590522.656809000,192.168.209.248,192.168.209.48,6,66,53,51913,0x0010,64,,,,
1748590523.404229000,192.168.209.199,192.168.209.48,6,60,2600,8000,0x0002,64,,,,
1748590523.404339000,192.168.209.48,192.168.209.199,6,58,8000,2600,0x0012,128,,,,
1748590523.410224000,192.168.209.199,192.168.209.48,6,60,2600,8000,0x0004,64,,,,
1748590524.403658000,192.168.209.199,192.168.209.48,6,60,2601,8000,0x0002,64,,,,
1748590524.403721000,192.168.209.48,192.168.209.199,6,58,8000,2601,0x0012,128,,,,
1748590524.408326000,192.168.209.199,192.168.209.48,6,60,2601,8000,0x0004,64,,,,
1748590525.464539000,192.168.209.199,192.168.209.48,6,60,2602,8000,0x0002,64,,,,
1748590525.464667000,192.168.209.48,192.168.209.199,6,58,8000,2602,0x0012,128,,,,
1748590525.469751000,192.168.209.199,192.168.209.48,6,60,2602,8000,0x0004,64,,,,
1748590526.539828000,192.168.209.199,192.168.209.48,6,60,2603,8000,0x0002,64,,,,
1748590545.170487000,192.168.209.248,192.168.209.48,6,55,53,51828,0x0018,64,,,,
1748590545.170538000,192.168.209.48,192.168.209.248,6,54,51828,53,0x0014,128,,,,
1748590545.171414000,192.168.209.248,192.168.209.48,6,362,53,51828,0x0018,64,,,,
1748590545.171435000,192.168.209.48,192.168.209.248,6,54,51828,53,0x0004,128,,,,
1748590567.662292000,192.168.209.48,192.168.209.248,6,55,51913,53,0x0010,128,,,,
1748590567.668544000,192.168.209.248,192.168.209.48,6,66,53,51913,0x0010,64,,,,
1748590608.138575000,192.168.209.48,192.168.209.199,6,201,8000,44122,0x0018,128,,,,
1748590608.142634000,192.168.209.199,192.168.209.48,6,66,44122,8000,0x0010,64,,,,
1748590608.142652000,192.168.209.48,192.168.209.199,6,107,8000,44122,0x0018,128,,,,
1748590608.148895000,192.168.209.199,192.168.209.48,6,66,44122,8000,0x0010,64,,,,
1748590608.150471000,192.168.209.199,192.168.209.48,6,66,44108,8000,0x0011,64,,,,
1748590608.150498000,192.168.209.48,192.168.209.199,6,66,8000,44108,0x0010,128,,,,
1748590608.150721000,192.168.209.48,192.168.209.199,6,66,8000,44108,0x0011,128,,,,
1748590608.157186000,192.168.209.199,192.168.209.48,6,74,44126,8000,0x0002,64,,,,
1748590608.157230000,192.168.209.48,192.168.209.199,6,74,8000,44126,0x0012,128,,,,
1748590608.157250000,192.168.209.199,192.168.209.48,6,66,44108,8000,0x0010,64,,,,
1748590608.161283000,192.168.209.199,192.168.209.48,6,66,44126,8000,0x0010,64,,,,
1748590608.162241000,192.168.209.199,192.168.209.48,6,284,44126,8000,0x0018,64,,,,
1748590608.163658000,192.168.209.199,192.168.209.48,6,114,44126,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.163683000,192.168.209.48,192.168.209.199,6,66,8000,44126,0x0010,128,,,,
1748590608.177773000,192.168.209.48,192.168.209.199,6,201,8000,44126,0x0018,128,,,,
1748590608.181889000,192.168.209.199,192.168.209.48,6,66,44126,8000,0x0010,64,,,,
1748590608.181908000,192.168.209.48,192.168.209.199,6,107,8000,44126,0x0018,128,,/login,,
1748590608.186796000,192.168.209.199,192.168.209.48,6,66,44126,8000,0x0010,64,,,,
1748590608.186916000,192.168.209.199,192.168.209.48,6,66,44122,8000,0x0011,64,,,,
1748590608.186939000,192.168.209.48,192.168.209.199,6,66,8000,44122,0x0010,128,,,,
1748590608.187249000,192.168.209.48,192.168.209.199,6,66,8000,44122,0x0011,128,,,,
1748590608.189396000,192.168.209.199,192.168.209.48,6,74,44138,8000,0x0002,64,,,,
1748590608.189437000,192.168.209.48,192.168.209.199,6,74,8000,44138,0x0012,128,,,,
1748590608.194714000,192.168.209.199,192.168.209.48,6,66,44122,8000,0x0010,64,,,,
1748590608.195814000,192.168.209.199,192.168.209.48,6,66,44138,8000,0x0010,64,,,,
1748590608.195961000,192.168.209.199,192.168.209.48,6,284,44138,8000,0x0018,64,,,,
1748590608.196098000,192.168.209.199,192.168.209.48,6,112,44138,8000,0x0018,64,192.168.209.48:8000,/login,,http://192.168.209.48:8000/login
1748590608.196114000,192.168.209.48,192.168.209.199,6,66,8000,44138,0x0010,128,,,,
1748590608.209849000,192.168.209.48,192.168.209.199,6,201,8000,44138,0x0018,128,,,,
1748590608.216677000,192.168.209.199,192.168.209.48,6,66,44138,8000,0x0010,64,,,,
1748590608.216698000,192.168.209.48,192.168.209.199,6,107,8000,44138,0x0018,128,,/login,,
